"","bundle","numberOfSongs","averageFanRating","standardDeviation","standardError","confidenceInterval"
"1","EWBAITE",330,4.05375757575758,0.465909381740811,0.0256474673564529,0.0504537153099869
"2","Patrick_and_Rivers",19,4.14210526315789,0.374322780310856,0.085875535349484,0.180417804933229
"3","Pre-Weezer",64,2.7040625,0.953126382382552,0.119140797797819,0.238083886507648
"4","The_Blue-Pinkerton_Years",16,4.233125,0.325918573675491,0.0814796434188728,0.173669748937529
"5","The_Green_Years",111,4.03189189189189,0.467953986691997,0.0444162268112967,0.0880225362579449
"6","The_Make_Believe_Years",91,4.05197802197802,0.374934719592683,0.0393038381309594,0.078083934566719
"7","The_Pacific_Daydream_Black_Years",54,3.88092592592593,0.560122185182869,0.0762229748505965,0.152883926557799
"8","The_Red-Raditude-Hurley_Years",36,3.78138888888889,0.577745137966945,0.0962908563278242,0.195480830849131
"9","The_White_Years",41,3.87243902439024,0.529078351890365,0.0826281565485419,0.166997733746632
"10","Weezma",28,4.17321428571429,0.397045137572344,0.0750344780917035,0.153958031936729
